Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
1031825659_2	SL4B	6	85.9	607	-0.858	0.858	27.996
1031825659_2	SL4B	7	1782.3	505	2.529	0.717	37.77
1031825659_2	SL4B	8	2430	425	4.718	0.825	53.067
1031825659_2	SL4B	9	1387.2	455	2.049	0.672	30.715
1031825659_2	SL4B	10	80	416	-0.808	0.808	21.336
1031825659_2	SL4B	11	250	480	-0.479	0.479	12.039
1031825659_2	SL4B	12	0	529	-1	1	32.527
1031825659_2	SL4B	13	695.5	515	0.35	0.26	7.337
1031825659_2	SL4B	14	174.5	422	-0.586	0.586	14.331
1031825659_2	SL4B	15	40	454	-0.912	0.912	26.342
1031825659_2	SL4B	16	80	416	-0.808	0.808	21.336
1031825659_2	SL4B	17	320	515	-0.379	0.379	9.543
1031825659_2	SL4B	18	290.2	449	-0.354	0.354	8.26
1031825659_2	SL4B	19	529.8	314	0.687	0.407	10.506
1031825659_2_r	SL4A	6	150	264	-0.432	0.432	7.924
1031825659_2_r	SL4A	7	120	473	-0.746	0.746	20.5
1031825659_2_r	SL4A	8	800	420	0.905	0.475	15.386
1031825659_2_r	SL4A	9	190	512	-0.629	0.629	17.187
1031825659_2_r	SL4A	10	0	524	-1	1	32.373
1031825659_2_r	SL4A	11	20	448	-0.955	0.955	27.979
1031825659_2_r	SL4A	12	111.6	416	-0.732	0.732	18.742
1031825659_2_r	SL4A	13	104.5	449	-0.767	0.767	20.708
1031825659_2_r	SL4A	14	226.4	523	-0.567	0.567	15.322
1031825659_2_r	SL4A	15	57.5	542	-0.894	0.894	27.984
1031825659_2_r	SL4A	16	391.9	497	-0.211	0.211	4.985
1031825659_2_r	SL4A	17	171.2	523	-0.673	0.673	18.883
1031825659_2_r	SL4A	18	628.6	534	0.177	0.15	3.924
1031825659_2_r	SL4A	19	1970.8	495	2.981	0.749	42.03
1037015119_2	49A	7	508.5	1190	-0.573	0.573	23.386
1037015119_2	49A	8	1348.6	969	0.392	0.281	11.151
1037015119_2	49A	9	1973.5	917	1.152	0.535	27.791
1037015119_2	49A	10	444	836	-0.469	0.469	15.495
1037015119_2	49A	11	52	890	-0.942	0.942	38.613
1037015119_2	49A	12	0	1057	-1	1	45.978
1037015119_2	49A	13	188.2	931	-0.798	0.798	31.4
1037015119_2	49A	14	253.7	929	-0.727	0.727	27.77
1037015119_2	49A	15	77.4	1240	-0.938	0.938	45.299
1037015119_2	49A	16	150.7	1185	-0.873	0.873	40.023
1037015119_2	49A	17	217.1	1726	-0.874	0.874	48.409
1037015119_2	49A	18	412	1514	-0.728	0.728	35.511
1037015119_2	49A	19	1015.8	968	0.049	0.047	1.518
1037015119_2	49A	20	772.8	624	0.238	0.193	5.631
1037015119_2	49A	21	626.5	453	0.383	0.277	7.468
1041510116_0	LC2A	7	0	37	-1	1	8.602
1041510116_0	LC2A	8	0	33	-1	1	8.124
1041510116_0	LC2A	9	97.8	25	2.912	0.744	9.291
1041510116_0	LC2A	10	92.2	26	2.546	0.718	8.611
1041510116_0	LC2A	11	20	35	-0.429	0.429	2.86
1041510116_0	LC2A	12	80	38	1.105	0.525	5.468
1041510116_0	LC2A	13	0	11	-1	1	4.69
