count-ll	count-ll-pred-err	p2p-ll	total-ll	link-lambda-avg	link-lambda-stddev	link-lambda-min	link-lambda-max	plan-lambda-avg	plan-lambda-stddev	plan-lambda-min	plan-lambda-max	replan-count
-310893.6576886086	387774.18578152865	--	-310893.6576886086	--	--	--	--	--	--	--	--	0
-286670.54117309244	50888.81091150538	--	-286670.54117309244	--	--	--	--	--	--	--	--	22277
-285260.7881432832	47310.38629283355	--	-285260.7881432832	--	--	--	--	--	--	--	--	22194
-281139.3993956018	52343.06694979146	--	-281139.3993956018	--	--	--	--	--	--	--	--	22222
-280145.66501826135	52423.40059877517	--	-280145.66501826135	--	--	--	--	--	--	--	--	22143
-275535.58748142334	49626.71098260826	--	-275535.58748142334	0.05040232600883157	0.5734345613425378	-8.508377872642322	34.752541484541375	1.8988267718219123	3.7739084174364756	-10.094677285490238	15.0	22085
-276681.9327477829	43740.07462877532	--	-276681.9327477829	0.050724978976808624	0.5785077760769965	-9.917527400349837	12.846330727402306	1.9096746142588354	3.9190248627325457	-10.26635209983965	15.0	21972
-276922.3616435044	40123.841032534496	--	-276922.3616435044	0.05042171637525135	0.5775610562710626	-11.487261538288255	28.086100741187455	1.8628125483325182	3.934057741647007	-12.02977826947582	15.0	22023
-276799.6962972765	44626.84068044578	--	-276799.6962972765	0.049892661115629136	0.5792806921828172	-10.425156253514539	18.33291008494187	1.8415685241264146	3.985989529343835	-11.988465428613402	15.0	21931
-278033.24249711196	45476.30806981557	--	-278033.24249711196	0.05202366185354451	0.6256884425724021	-12.883285048770922	19.08882985835753	1.888110888008622	4.297869123200761	-14.94830540018292	15.0	22002
-284368.13291100017	50440.3610605173	--	-284368.13291100017	0.05403194165359913	0.6614120060658928	-13.721190711614257	19.099706917153938	1.909300235461988	4.433147191713289	-15.0	15.0	21951
-278237.750523736	43438.84673811326	--	-278237.750523736	0.052124797437106164	0.6511160983390656	-14.997333105909307	12.355916578009728	1.8542836839985706	4.424598183298712	-15.0	15.0	22079
-285416.7587630082	45350.396300372835	--	-285416.7587630082	0.050802053888576656	0.6776228571512066	-15.482992267511966	25.73351691241844	1.8162207175152432	4.524363272477879	-15.0	15.0	22058
-287664.7948058128	46417.906545757745	--	-287664.7948058128	0.04892573273209042	0.6784129633479433	-16.625682558409306	13.73107813399078	1.7462079399566233	4.5093774557656605	-15.0	15.0	22051
-285809.36063463986	42636.22878250175	--	-285809.36063463986	0.04803877144827724	0.6967472014959306	-17.58992398566971	12.027900618546722	1.7407350117995608	4.635790134009412	-15.0	15.0	22072
-285567.82163093344	36798.47990518563	--	-285567.82163093344	0.045757270927116504	0.7028128324303651	-18.529221925419805	10.611864172537471	1.6553417879810133	4.650747107749152	-15.0	15.0	22012
-287540.17473355815	37969.22293903579	--	-287540.17473355815	0.04163398081512959	0.7170223002837824	-19.259929502663482	10.415002418519636	1.5267543081111592	4.684911251611448	-15.0	15.0	22102
-290375.8183008707	38113.43576970263	--	-290375.8183008707	0.0399604863907669	0.7308481585088912	-20.179652626358756	11.028687568711026	1.4719951607539976	4.752948229965915	-15.0	15.0	22062
-288514.60888942314	36441.70972098165	--	-288514.60888942314	0.03571920466280009	0.7400776816614378	-21.000616977017952	11.586623257466862	1.3305632449090379	4.792950639604489	-15.0	15.0	22171
-291543.8672363828	37875.39178283187	--	-291543.8672363828	0.03289633756180805	0.7511203162396092	-21.47162300959611	10.835555176986377	1.2413980508505813	4.835079225582192	-15.0	15.0	22140
-288883.02995073335	33569.12037423972	--	-288883.02995073335	0.029627112153441406	0.7630768839641713	-22.188863488219877	10.761682691452867	1.1248498921496524	4.9031727350955	-15.0	15.0	22020
-293055.1836462607	35274.5471573099	--	-293055.1836462607	0.02607805315096377	0.7677350902913779	-22.887937183820675	10.724830530355877	1.0028055725836782	4.926753012040695	-15.0	15.0	22117
-290103.426947287	33547.503103819916	--	-290103.426947287	0.02337505397189433	0.7825980201066514	-23.194756795392784	9.897598680386583	0.911614864769626	5.0151257757928285	-15.0	15.0	22117
-289748.7486300442	31409.948472232525	--	-289748.7486300442	0.02125769762367239	0.7908306698679256	-23.712462988700736	9.960917830369377	0.8441082573764317	5.034905196783075	-15.0	15.0	22138
-288218.7653964707	30353.66827215503	--	-288218.7653964707	0.01910431367993446	0.7950200947900019	-24.285771668917725	9.554163145375778	0.7682431529458635	5.074493365464771	-15.0	15.0	22124
-286262.6056649874	35386.651890601366	--	-286262.6056649874	0.016231253562009128	0.8086856702704059	-24.546431988369484	9.844717216415912	0.6694725481841581	5.158046284899683	-15.0	15.0	22132
-289149.8438894757	32206.988180831868	--	-289149.8438894757	0.013899858445668788	0.8086998275437349	-25.038135727170353	9.902454771013893	0.5921213880775942	5.166879388555294	-15.0	15.0	22127
-287482.42794983933	29104.31766934398	--	-287482.42794983933	0.011090754599509813	0.8273333513818653	-25.383356087885637	9.871183635924751	0.5008234981636799	5.274097553058787	-15.0	15.0	22121
-287873.26511927723	29144.95435990592	--	-287873.26511927723	0.00813314172285811	0.8349384682924231	-25.83647025567875	9.961076653986883	0.3836831004857604	5.329112234488078	-15.0	15.0	22227
-285778.38524466124	29040.614872834325	--	-285778.38524466124	0.0073856754196910505	0.8440414275699123	-26.178255597705487	9.391062954509666	0.37174530213084434	5.362402022028235	-15.0	15.0	22149
-283285.0865725831	28711.68481465205	--	-283285.0865725831	0.005919840273248676	0.8430501466309187	-26.276237648471646	9.404034216364094	0.31430634264575974	5.401880200486983	-15.0	15.0	22145
