count-ll	count-ll-pred-err	p2p-ll	total-ll	link-lambda-avg	link-lambda-stddev	link-lambda-min	link-lambda-max	plan-lambda-avg	plan-lambda-stddev	plan-lambda-min	plan-lambda-max	replan-count
-310893.6576886086	387774.18578152865	--	-310893.6576886086	--	--	--	--	--	--	--	--	0
-286670.54117309244	50888.81091150538	--	-286670.54117309244	--	--	--	--	--	--	--	--	22277
-285260.7881432832	47310.38629283355	--	-285260.7881432832	--	--	--	--	--	--	--	--	22194
-281139.3993956018	52343.06694979146	--	-281139.3993956018	--	--	--	--	--	--	--	--	22222
-280145.66501826135	52423.40059877517	--	-280145.66501826135	--	--	--	--	--	--	--	--	22143
-275535.58748142334	49626.71098260826	--	-275535.58748142334	0.05040232600883157	0.5734345613425378	-8.508377872642322	34.752541484541375	1.8988267718219123	3.7739084174364756	-10.094677285490238	15.0	22085
-279088.09772866726	47894.069774968986	--	-279088.09772866726	0.05037761717233192	0.5781678791882835	-9.917527400349837	12.846330727402306	1.896840504543688	3.9045127525960557	-10.26635209983965	15.0	21973
-278005.5859362496	43848.25323731262	--	-278005.5859362496	0.05109804038725499	0.5905013481300294	-11.71546802488881	28.086100741187455	1.8774636618410308	4.018596864399763	-12.138854663524299	15.0	22001
-280128.43179416016	48687.023869809374	--	-280128.43179416016	0.051537516628204084	0.609272436269632	-11.84716933218701	28.31997547627165	1.8728146372119077	4.153333990137827	-15.0	15.0	21931
-284426.89966841106	48581.373013539735	--	-284426.89966841106	0.05303614756548253	0.6353983201569603	-12.881615570964119	33.4095559486109	1.9067070872534715	4.329926126050363	-15.0	15.0	22005
-284103.6458724305	48964.240600655714	--	-284103.6458724305	0.0520906080432514	0.6536814939242752	-14.213623546215528	20.675007629317225	1.8590714631617213	4.431734173306272	-15.0	15.0	22002
-285337.7414023108	43196.09917331775	--	-285337.7414023108	0.05174380056756896	0.663368424213101	-15.42215280988974	14.3834683060363	1.8500122947635602	4.4762961341829355	-15.0	15.0	22046
-286743.10566779895	44951.582189463945	--	-286743.10566779895	0.04978217526256979	0.6763546088283247	-16.504554793290534	13.287430682680283	1.794390458050225	4.530560280797706	-15.0	15.0	22125
-287998.88055427617	41585.405666169434	--	-287998.88055427617	0.04903299615262493	0.6871541814502172	-16.818853993402907	12.847386641002824	1.7785324835448302	4.623985416400643	-15.0	15.0	22067
-285471.30065466213	38011.410958792774	--	-285471.30065466213	0.0454095116167808	0.7070446156167816	-17.756067311243683	14.04799610736882	1.643087547658594	4.667980467563156	-15.0	15.0	22124
-290222.7455685042	42999.302019989154	--	-290222.7455685042	0.04324354164456859	0.6951929602556157	-18.454489712807035	11.264421010351635	1.5898867895456292	4.614582559596446	-15.0	15.0	22029
-289408.46725513163	39079.223910746834	--	-289408.46725513163	0.03820768741657271	0.7224091699870934	-19.438034309874137	11.096929454892482	1.4036093445908102	4.72616242662282	-15.0	15.0	22097
-292122.50776325073	41183.927002066885	--	-292122.50776325073	0.03618239663337759	0.7321287121286862	-19.89400249608072	10.308695735261727	1.336292409985193	4.77398751053137	-15.0	15.0	22098
-291546.2414325916	35523.998356263764	--	-291546.2414325916	0.03415268020163989	0.7374757229221394	-20.68939168716675	9.801907009677969	1.2889308145487248	4.78856814246724	-15.0	15.0	22093
-290107.33099793986	35400.15333574025	--	-290107.33099793986	0.03136491512443063	0.7520935222087158	-21.48301359384978	9.927958255311117	1.1935036618158528	4.834294399873614	-15.0	15.0	22122
-294717.2919516615	37367.81091685855	--	-294717.2919516615	0.02879565481987993	0.7572018289805652	-22.06480856472577	13.01240076172372	1.1031457627564323	4.8785871448019575	-15.0	15.0	22058
-292941.0024483802	33534.992284042804	--	-292941.0024483802	0.024700047998946567	0.7710745136933506	-22.657086085920948	12.492858677270439	0.9678780487893978	4.947871787335411	-15.0	15.0	22101
-291220.31728986226	32908.11849024809	--	-291220.31728986226	0.023801459936023686	0.787392881889315	-23.240641398366034	12.404544701999038	0.9380449852605567	5.049495428633875	-15.0	15.0	22226
-291026.01885206427	30613.48852173452	--	-291026.01885206427	0.020304992099618013	0.8014419188415833	-23.815414695971576	11.725407674559342	0.8247680566768043	5.117617432052198	-15.0	15.0	22162
-289592.25119516556	29732.250658654364	--	-289592.25119516556	0.01716128655810995	0.8079815611278394	-24.178351128853013	10.512236914460775	0.6962933646116964	5.194538811385695	-15.0	15.0	22198
-291899.7191044492	32400.444256036906	--	-291899.7191044492	0.01387726358404931	0.8124728082453828	-24.45886284521073	11.838423725449507	0.5797168253275766	5.260343386202575	-15.0	15.0	22189
-285669.3345297558	29424.287289272786	--	-285669.3345297558	0.011640255648104515	0.8341128649262352	-24.837921347819726	9.105247504076441	0.513159096170841	5.365031800788942	-15.0	15.0	22175
-288553.9600023733	25987.729779226098	--	-288553.9600023733	0.00908757856439607	0.8416892879447355	-25.354753590042055	8.75182831372274	0.42412808171797045	5.421776926047698	-15.0	15.0	22229
-285550.9504195223	28291.253862876853	--	-285550.9504195223	0.005523820693718527	0.8488679746621915	-25.854675109765335	9.255019091703033	0.2985741185334469	5.493102845608481	-15.0	15.0	22209
-287526.5880158324	25549.87116207969	--	-287526.5880158324	0.003689447606940468	0.8612940595270627	-25.91903130500679	9.394090783511352	0.23985762222297893	5.546265773133775	-15.0	15.0	22214
-288079.3658995057	28895.06101853986	--	-288079.3658995057	0.0020783595912698444	0.8615314551490558	-26.36209204534226	8.95526791643852	0.18577805420291707	5.535683429403485	-15.0	15.0	22143
-281547.1256628392	26055.436296478358	--	-281547.1256628392	-0.0019464929262255134	0.8776067638835965	-26.774314540222097	9.890309811837978	0.04081522094759858	5.68194707203551	-15.0	15.0	22189
-285342.850739771	25304.96471074705	--	-285342.850739771	-0.0014826047414900512	0.8762376646470034	-26.82531387925929	9.503796486835512	0.060957284097008624	5.660270198632506	-15.0	15.0	22226
-285526.80999930575	28416.06200400549	--	-285526.80999930575	-0.005253240190025631	0.8943640468700811	-26.920418582522103	9.921220279919712	-0.06411305408494887	5.752805507111316	-15.0	15.0	22156
-282855.91496242007	26280.583334447874	--	-282855.91496242007	-0.006690333159019855	0.8970446548563926	-27.105094034101636	10.041183047995858	-0.12279042300740212	5.798635124987847	-15.0	15.0	22199
-276811.069716528	31006.391839352997	--	-276811.069716528	-0.0078085971648123136	0.9070569648828305	-26.93362738953155	9.81869837106146	-0.1454471947250366	5.801900185074143	-15.0	15.0	22209
-283972.0291082239	27337.66642558683	--	-283972.0291082239	-0.006477932594074236	0.8895204246981541	-27.089165546451913	9.751658457780158	-0.11696551057027174	5.762507247585174	-15.0	15.0	22195
-283160.54121903714	24481.229493304527	--	-283160.54121903714	-0.010996063582926055	0.9172039065465937	-27.29176623696316	9.875848184027518	-0.26314865641258733	5.884033797213586	-15.0	15.0	22127
-285475.6501434566	22701.40562363527	--	-285475.6501434566	-0.012331565699871327	0.9105978537807274	-27.453134821252622	9.472425101254425	-0.3213179836643633	5.900975811339247	-15.0	15.0	22213
-281183.86667752324	27662.677897363013	--	-281183.86667752324	-0.013136156433013043	0.918710208614301	-27.729780808269215	9.469161526431693	-0.3340426081777157	5.928778417426317	-15.0	15.0	22165
-284099.06649224815	24295.27935962464	--	-284099.06649224815	-0.013428232220908427	0.912015194196754	-27.639125246136505	9.37086324480738	-0.35128650922305366	5.929462106534914	-15.0	15.0	22124
-282563.1454720388	25270.632993257048	--	-282563.1454720388	-0.016290793906655103	0.9232440809397868	-27.887096539265418	9.213068777042164	-0.4616110983549365	5.97685284886151	-15.0	15.0	22188
-284002.93134083785	20103.160074540014	--	-284002.93134083785	-0.017802797134129324	0.9334452030980822	-27.98501073223725	10.207082303871191	-0.5038288945548824	6.015799892319265	-15.0	15.0	22241
-280616.1259483536	23971.9397396716	--	-280616.1259483536	-0.019144018367151402	0.9317494308858633	-28.099092498450737	9.296662969720016	-0.5583432535202956	6.0195805338244055	-15.0	15.0	22050
-286210.4478589947	21475.355414571186	--	-286210.4478589947	-0.020951204321739914	0.9393158297581364	-28.250328936161047	9.3320822682821	-0.6072486473633393	6.0598077677316216	-15.0	15.0	22182
-279839.022635752	25290.083757933404	--	-279839.022635752	-0.02109875624900711	0.9386272443791288	-28.461414431316737	9.327936653840304	-0.6100074631260151	6.0790047331598815	-15.0	15.0	22180
-277865.7228004094	27429.144805877033	--	-277865.7228004094	-0.021042284097083513	0.9413551884377479	-28.644285649859807	9.360806332792743	-0.6217809160722257	6.0751015664563734	-15.0	15.0	22030
-283183.90124599356	25717.830663302706	--	-283183.90124599356	-0.022478760460846067	0.9460367831813353	-28.829481333305576	9.448726026873537	-0.674184154072852	6.085746375741959	-15.0	15.0	22108
-281732.4012674857	22557.553685162282	--	-281732.4012674857	-0.02545472929774702	0.9460803751210216	-28.920431382749495	9.518487394545174	-0.7721244856620247	6.115887343580037	-15.0	15.0	22152
-283503.7874156933	21491.50349520919	--	-283503.7874156933	-0.026690925350518004	0.9494608337047309	-28.640840944643276	9.44126388952758	-0.8144865881968567	6.138305451309761	-15.0	15.0	22182
-279605.96008460765	20448.365052959507	--	-279605.96008460765	-0.026746494844018334	0.9462442389440495	-28.686642705033194	9.662646265562518	-0.8153093069400226	6.178872899342801	-15.0	15.0	22103
-285624.9389324525	25021.700878490457	--	-285624.9389324525	-0.02756235225231281	0.9547484942383689	-28.48852692506866	9.695882217309446	-0.8389212720713827	6.202463099601968	-15.0	15.0	22107
-279667.7188575846	21819.82743932702	--	-279667.7188575846	-0.02814482981977076	0.9485331725398785	-28.548351366302985	9.724789298101328	-0.8584908691882088	6.191159088503346	-15.0	15.0	22105
-283085.1215374811	25639.849038370627	--	-283085.1215374811	-0.02865404438626976	0.951950822807741	-28.328581725482714	9.404595768319869	-0.8663673771675632	6.196384917627109	-15.0	15.0	22104
-279890.32645115745	22405.05593680514	--	-279890.32645115745	-0.03004068759496199	0.9466628233981689	-28.06682282336802	8.971903930912692	-0.9295626651215831	6.218339815258071	-15.0	15.0	22103
-282591.9715276068	20232.621871590392	--	-282591.9715276068	-0.03087878881201695	0.9549062128158251	-27.8137764383542	9.847179925128918	-0.9322179314383668	6.221949347954219	-15.0	15.0	22161
-273963.65933466353	26057.447929831007	--	-273963.65933466353	-0.029813279733058574	0.9567878136354314	-27.898898074547507	11.150978206599872	-0.8978897328593071	6.261490642113381	-15.0	15.0	22168
-285481.108617662	27754.895004355847	--	-285481.108617662	-0.03188416504065102	0.9533302203337969	-28.000913699135804	10.980353254700397	-0.9853665158931553	6.257157763314654	-15.0	15.0	22091
-282798.12067942973	22328.71334739774	--	-282798.12067942973	-0.032641240504676844	0.9397896332995921	-26.877763057951682	10.829842353190248	-1.0139072547257708	6.235808268533861	-15.0	15.0	22122
-275583.7083577415	21350.795733007883	--	-275583.7083577415	-0.03232198144711899	0.937658984803891	-26.472329045607808	10.696239862838635	-0.9922901522704713	6.202371059093638	-15.0	15.0	22111
-280585.7816197826	19317.387127900787	--	-280585.7816197826	-0.03324765938375331	0.9322315586755404	-25.876234063481395	9.875766583766687	-1.0460293990080864	6.197752466814984	-15.0	15.0	22007
-280723.1300602358	21911.98107801534	--	-280723.1300602358	-0.031620432201959245	0.9279935385274483	-25.83092839586631	10.655287358158782	-0.9903521186240484	6.1937959391803785	-15.0	15.0	22135
-281463.90314275085	18758.94503942096	--	-281463.90314275085	-0.032495110183621424	0.9214208899209698	-25.824650680662867	10.54251578743846	-1.0292034186467407	6.1668235525182835	-15.0	15.0	22151
-280419.3862838769	20589.855646631477	--	-280419.3862838769	-0.032154250514142925	0.9181738683037787	-25.29452578725582	9.8898048906919	-1.024877413222703	6.151365054349608	-15.0	15.0	22188
-285516.27148376	22316.956327329855	--	-285516.27148376	-0.0320425938000012	0.9139787176303023	-25.24139535642919	9.89772385287388	-1.0187442190955946	6.129830974844963	-15.0	15.0	22100
-277450.7079952728	20334.38580362811	--	-277450.7079952728	-0.03541041643768827	0.9231263456783029	-25.27926595882787	8.846583374393324	-1.1224489361710157	6.174589939728315	-15.0	15.0	22107
-283898.77585819736	18067.3548919005	--	-283898.77585819736	-0.03438465212582665	0.921093374294331	-25.13545484734787	10.635629869957844	-1.0969694012365174	6.162545884386094	-15.0	15.0	22054
-285963.6595396914	20578.666751732602	--	-285963.6595396914	-0.03454672499802811	0.9189631337314195	-25.037418899257435	9.935811417602245	-1.0999302427733875	6.197758264926369	-15.0	15.0	22237
-281646.08401554415	28271.74574721282	--	-281646.08401554415	-0.0351666404090221	0.923179535613694	-25.06631125441559	8.884102624600217	-1.1300465581993944	6.208729527991681	-15.0	15.0	22149
-281354.31029804685	21565.641434806388	--	-281354.31029804685	-0.03235694920705862	0.9047129267068476	-25.092597607479966	10.625695473189504	-1.056388918836721	6.148724025559073	-15.0	15.0	22181
-284095.1122639383	19886.51027319151	--	-284095.1122639383	-0.031996403160402184	0.909419404363484	-25.14349692362926	9.620982766717695	-1.015910197495107	6.149995311797055	-15.0	15.0	22137
-282980.7247590101	22488.06079137909	--	-282980.7247590101	-0.031413383949275626	0.9025024281794775	-25.191608405379508	9.971181675060194	-1.0028800007367487	6.111664713415328	-15.0	15.0	22228
