Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
1031825659_2	SL4B	6	87.5	607	-0.856	0.856	27.878
1031825659_2	SL4B	7	1790.4	505	2.545	0.718	37.942
1031825659_2	SL4B	8	2610.3	425	5.142	0.837	56.095
1031825659_2	SL4B	9	1150.6	455	1.529	0.605	24.55
1031825659_2	SL4B	10	80	416	-0.808	0.808	21.336
1031825659_2	SL4B	11	250	480	-0.479	0.479	12.039
1031825659_2	SL4B	12	0	529	-1	1	32.527
1031825659_2	SL4B	13	690	515	0.34	0.254	7.13
1031825659_2	SL4B	14	180	422	-0.573	0.573	13.949
1031825659_2	SL4B	15	40	454	-0.912	0.912	26.342
1031825659_2	SL4B	16	80	416	-0.808	0.808	21.336
1031825659_2	SL4B	17	320	515	-0.379	0.379	9.543
1031825659_2	SL4B	18	293.9	449	-0.345	0.345	8.048
1031825659_2	SL4B	19	516.1	314	0.644	0.392	9.92
1031825659_2_r	SL4A	6	120	264	-0.545	0.545	10.392
1031825659_2_r	SL4A	7	120	473	-0.746	0.746	20.5
1031825659_2_r	SL4A	8	750	420	0.786	0.44	13.644
1031825659_2_r	SL4A	9	190	512	-0.629	0.629	17.187
1031825659_2_r	SL4A	10	0	524	-1	1	32.373
1031825659_2_r	SL4A	11	20	448	-0.955	0.955	27.979
1031825659_2_r	SL4A	12	102.7	416	-0.753	0.753	19.454
1031825659_2_r	SL4A	13	104.9	449	-0.766	0.766	20.677
1031825659_2_r	SL4A	14	247	523	-0.528	0.528	14.066
1031825659_2_r	SL4A	15	45.4	542	-0.916	0.916	28.977
1031825659_2_r	SL4A	16	269.2	497	-0.458	0.458	11.639
1031825659_2_r	SL4A	17	283.4	523	-0.458	0.458	11.932
1031825659_2_r	SL4A	18	637.2	534	0.193	0.162	4.265
1031825659_2_r	SL4A	19	1997.3	495	3.035	0.752	42.557
1037015119_2	49A	7	551.5	1190	-0.537	0.537	21.638
1037015119_2	49A	8	1614.3	969	0.666	0.4	17.955
1037015119_2	49A	9	2379.6	917	1.595	0.615	36.025
